target_song,top,AE,MFCC
"The Doctor (Comfortably Numb) [The Wall, Work In Progress Pt. 2 1979]",,,
,1,Childhood's End,Wot's...Uh the Deal
,2,Comfortably Numb,"Side 4, Pt. 4 Louder Than Words"
,3,Burning Bridges,When You're In
,4,TBS14,The Show Must Go On
,5,Wot's...Uh the Deal,"Another Brick in the Wall, Pt. 3"
,6,Fearless,"Side 3, Pt. 7 Talkin' Hawkin'"
,7,Lost for Words,Careful With That Axe Eugene (Live) [2011 Remastered Version]
,8,Mother,Run Like Hell
,9,Wearing the Inside Out,In the Flesh
,10,"Side 3, Pt. 7 Talkin' Hawkin'",Up The Khyber
Shine On You Crazy Diamond (Parts 1-5),,,
,1,Fearless,One Slip
,2,One Slip,Comfortably Numb
,3,One of My Turns,Have A Cigar
,4,"Side 3, Pt. 4 Allons-y (1)",Terminal Frost
,5,Wish You Were Here,Lost for Words
,6,TBS14,Yet Another Movie
,7,Wearing the Inside Out,Money
,8,"Shine On You Crazy Diamond, Pts. 1-5",A Great Day for Freedom
,9,Learning To Fly,"Side 3, Pt. 6 Allons-y (2)"
,10,"Side 3, Pt. 7 Talkin' Hawkin'",Coming Back to Life
Comfortably Numb,,,
,1,"Side 4, Pt. 3 Surfacing",Keep Talking
,2,"Side 4, Pt. 4 Louder Than Words",Not Now John
,3,Money,What Do You Want From Me
,4,"Side 3, Pt. 4 Allons-y (1)",Learning To Fly
,5,One Slip,"Side 4, Pt. 3 Surfacing"
,6,On The Turning Away,Money
,7,Keep Talking,The Nile Song
,8,"Side 3, Pt. 7 Talkin' Hawkin'",The Dogs Of War
,9,Comfortably Numb,Nervana
,10,TBS14,"Side 3, Pt. 4 Allons-y (1)"
Money,,,
,1,"Side 3, Pt. 4 Allons-y (1)","Side 4, Pt. 3 Surfacing"
,2,On The Turning Away,Keep Talking
,3,Money,Money
,4,"Side 4, Pt. 3 Surfacing",Learning To Fly
,5,"Side 4, Pt. 4 Louder Than Words",On The Turning Away
,6,One Slip,One Slip
,7,TBS14,Comfortably Numb
,8,Lost for Words,Not Now John
,9,"Side 3, Pt. 7 Talkin' Hawkin'",Sorrow
,10,Fearless,"Side 3, Pt. 4 Allons-y (1)"
