enc. v 0,enc. v 1,enc. v 2,enc. v 3,enc. v 4,enc. v 5,enc. v 6,enc. v 7,enc. v 8,enc. v 9,enc. v 10,enc. v 11,enc. v 12,enc. v 13,enc. v 14,enc. v 15,enc. v 16,enc. v 17,enc. v 18,enc. v 19,enc. v 20,enc. v 21,enc. v 22,enc. v 23,enc. v 24,enc. v 25,enc. v 26,enc. v 27,enc. v 28,enc. v 29,enc. v 30,enc. v 31,enc. v 32,enc. v 33,enc. v 34,enc. v 35,enc. v 36,enc. v 37,enc. v 38,enc. v 39,enc. v 40,enc. v 41,enc. v 42,enc. v 43,enc. v 44,enc. v 45,enc. v 46,enc. v 47,enc. v 48,enc. v 49,enc. v 50,enc. v 51,enc. v 52,enc. v 53,enc. v 54,enc. v 55,enc. v 56,enc. v 57,enc. v 58,enc. v 59,enc. v 60,enc. v 61,enc. v 62,enc. v 63,enc. v 64,enc. v 65,enc. v 66,enc. v 67,enc. v 68,enc. v 69,enc. v 70,enc. v 71,enc. v 72,enc. v 73,enc. v 74,enc. v 75,enc. v 76,enc. v 77,enc. v 78,enc. v 79,enc. v 80,enc. v 81,enc. v 82,enc. v 83,enc. v 84,enc. v 85,enc. v 86,enc. v 87,enc. v 88,enc. v 89,enc. v 90,enc. v 91,enc. v 92,enc. v 93,enc. v 94,enc. v 95,enc. v 96,enc. v 97,enc. v 98,enc. v 99,enc. v 100,enc. v 101,enc. v 102,enc. v 103,enc. v 104,enc. v 105,enc. v 106,enc. v 107,enc. v 108,enc. v 109,enc. v 110,enc. v 111,enc. v 112,enc. v 113,enc. v 114,enc. v 115,enc. v 116,enc. v 117,enc. v 118,enc. v 119,enc. v 120,enc. v 121,enc. v 122,enc. v 123,enc. v 124,enc. v 125,enc. v 126,enc. v 127,label
-0.54771215,-0.21384653,0.060784888,-0.21645069,0.73197174,-0.006007172,-0.13572022,-0.14058839,0.6950272,-0.03038658,-0.09714091,0.30877355,-0.18318334,-0.8316604,0.024568215,0.47081462,-0.20935951,0.03698296,1.4668456,-0.6367414,0.059700206,0.07746762,-0.17641172,0.95708305,0.17344052,0.22602598,-0.2909779,0.046103325,-1.3349149,1.0853093,-0.89712834,0.6270461,1.02267,-0.24697317,0.09547497,-0.6312112,0.6875275,-0.9015583,0.2114456,0.7381099,-0.4476869,-0.6665655,-0.3810937,0.38672847,0.227323,-0.15372345,0.76781577,-0.35925707,-0.27393973,0.21105658,0.09724425,0.23108488,-0.12509054,-0.8152541,0.0587058,-0.18338597,0.5438976,0.41752797,1.0441461,0.52032596,-1.0403364,0.42893085,-1.0314368,0.9210401,-0.25072414,0.7263516,0.32596225,0.25392565,-0.8247167,0.66323084,0.71380997,0.5165539,-0.43117338,1.3513619,-0.4611804,0.359648,0.3890326,-0.75239915,0.2922211,0.39297488,-0.4002316,-0.2905823,-0.050655477,0.41082457,0.29342225,-0.60202074,0.6855904,0.15389732,-0.82624185,0.3870819,0.42054772,0.099221915,0.25353193,0.07438447,-0.041106686,0.37156907,0.6022455,0.6770655,0.9119891,-0.18127836,-0.24127367,0.28646266,1.4448096,-0.07805397,0.09391328,-0.81810343,-0.18173246,1.152326,-0.74292165,-0.31347567,-0.24775645,0.13144192,0.6037138,0.9084861,-1.0473435,-0.09368076,-0.107786745,0.4143297,0.6377542,-0.12046474,-0.36598152,0.42342228,0.52181965,0.41670075,-0.02649183,-0.39977086,0.04648028,-1.1094724,52635.npy
-0.02808287,-0.10286907,0.42053515,-0.54464316,0.8771765,-0.2866358,0.27384204,-0.5879041,-0.061543226,-0.3219598,-0.6826638,-0.23135974,-0.64642864,-0.0919562,-0.426773,-0.46936107,-0.12230126,-0.38075343,0.588124,-0.43109363,0.20103592,-0.04720534,0.041913588,0.20154634,0.41771248,0.9390706,-0.38766626,-0.2532563,-0.58301884,0.4686368,0.4531204,-0.22510771,0.18623134,0.3421864,-0.08356775,-0.37376633,0.15359978,0.4389161,-0.07520287,-0.033553414,-0.08261783,0.037946407,0.15835571,0.3617204,-0.6153842,0.31476736,-0.53465563,0.30258468,1.2120646,0.3084008,-0.4048694,0.24738842,-0.035452276,0.08998593,-0.6804147,-0.18789577,0.02117126,-0.11195165,-0.44928807,0.09760101,0.47183007,0.5616493,-0.5842618,0.29272276,-0.03559968,0.35943225,0.42740694,0.21678013,-0.6223733,0.05732695,0.26876557,-0.44012144,0.2643674,0.51205945,-0.046595678,0.18417652,0.26735172,-0.5904023,-0.17439052,-0.29367882,-0.22763143,-0.028734727,0.6271119,0.085259676,0.13002494,0.38091686,0.60924995,-0.21343051,-0.27257663,-0.0021835081,-0.1069101,-0.4268024,-0.20080458,-0.5395367,0.26433143,0.3401819,-0.6619436,0.2027413,-0.27700114,-0.102017626,-0.07258422,-0.16951928,0.41190952,-0.7001879,0.7135538,-0.377954,-0.045745865,-0.06304683,0.21728341,-0.390432,0.21474718,0.3277749,-0.20450422,-0.31514624,-0.32588524,0.3927593,-0.99991006,-0.04077155,0.07558484,-0.9496384,-0.2270039,-0.008374684,0.016796662,0.034326933,0.060347814,0.307535,0.28594434,-0.4785133,19192.npy
-0.018465698,0.40034643,0.24258275,-0.36148787,0.5160547,0.28897023,0.48355812,-0.44417688,0.119045556,-0.18177922,0.10406114,0.12587926,-0.22479086,-0.29859063,0.050910667,-0.08911988,-0.25356543,0.21164696,0.091262266,-0.4090437,0.79864776,0.017521515,0.05430045,0.4063812,0.48990902,0.0167313,-0.19031619,-0.56626475,-0.046059307,0.3917334,0.20356707,-0.47804192,0.23942724,0.3978516,-0.17516208,0.034370117,-0.14731139,0.52700114,0.29711947,0.037722263,-0.5049336,0.44637817,0.45509675,0.25695795,-0.23396094,0.004138805,-0.47220153,0.6228472,0.15071961,0.3058166,-0.062449414,0.10402526,-0.21475741,-0.07848412,-0.007539248,-0.5396428,-0.14460585,-0.13628483,-0.271232,-0.5509906,0.1450623,0.17556195,-0.2388513,0.30791825,-0.07510979,0.16287008,0.117235065,0.18174824,-0.30101544,0.38779098,0.29129115,-0.4420638,-0.22174478,0.35551062,-0.22648098,0.1394732,0.24764928,-0.18616539,-0.27645847,-0.09252582,0.33002922,0.17544708,0.42765298,0.06795942,0.062850766,-0.3885187,0.15678963,0.059452344,-0.18580642,0.16953884,-0.44505212,0.04787819,-0.08160378,-0.44244146,0.11717331,0.18519625,-0.22525838,-0.405467,-0.26870754,-0.14842758,-0.67782366,-0.23764488,0.45497927,-0.40938237,0.4957,0.045593657,0.19488849,0.09721038,0.07001833,-0.3600719,0.19904666,0.39676988,-0.45262757,-0.42873484,-0.027434414,0.10019093,-0.25949484,0.06141801,0.2834969,-0.49979746,-0.15120065,0.0013219547,0.25922388,-0.09421379,-0.2568066,0.3232264,-0.10521035,-0.37249354,55076.npy
0.11460685,-0.23503605,-0.42275575,-0.20208535,0.06597347,0.6621909,0.827218,-0.33536562,0.18652068,0.48557022,-0.43986592,0.6136604,-0.053512752,-0.8575751,-0.21663195,-0.23782028,0.33599475,0.9376911,0.64518094,-0.7187397,-0.22708775,-0.0922506,-0.2843082,0.3254361,-0.13658178,-0.24625723,-0.4169344,-0.47058615,-0.22899318,0.6271245,-0.5064904,0.29332522,-0.26660568,0.44783878,-0.14773609,0.26963997,-0.85958076,-0.30112717,0.44609714,-0.06298762,0.20470352,0.5003311,0.8953444,0.63322216,-0.2068282,0.18995973,0.05357739,1.4588052,-0.4482418,-0.12421438,0.8036849,0.08160823,-0.4975872,-0.9924693,0.35651618,-0.15827474,0.27780122,-0.3138921,-0.044215977,0.25100282,-0.2503993,-0.69201833,-0.6893648,-0.009198386,-0.287817,0.74857575,0.56807315,0.08771159,-1.017193,1.3650792,-0.15364727,-0.0717221,-0.5644226,0.19790927,-0.58977497,0.08390613,0.23526576,0.46057,-0.39207894,0.6285519,-0.2467207,0.19205654,-0.21168834,0.08085973,0.48291278,-0.98558605,0.23607138,0.44078687,-0.4034324,0.4033407,-0.3435619,0.11844084,0.08012779,-0.900485,0.37404022,0.3030786,0.60767055,0.18805782,0.23177853,-0.1423883,-1.0766857,-0.24594131,-0.36270052,-0.5084639,0.10447557,0.56498754,0.2944464,0.22238097,0.3316869,-0.5432232,0.1294474,0.27543765,-0.050742663,0.15243216,-0.39391863,-0.40977865,-0.20406058,0.13634197,-0.17658226,-0.48330918,-0.06904969,0.0068740677,0.48674148,-0.35532948,-0.09041244,-0.03727568,0.56372374,-0.47284678,133969.npy
-0.49461898,-0.14917848,-0.033392247,-0.022156978,0.29704565,0.1394139,0.79331374,0.105729595,-0.23454869,-0.124850415,-0.4783883,-0.0038897116,-0.47426808,-0.7231181,-0.37197772,0.12725724,-0.026298126,0.08888154,0.22455849,-0.31267023,0.32918775,0.18950483,0.06727291,0.6142894,0.13922282,0.41175663,-0.6230213,-0.2054572,-0.34439445,0.3436749,-0.1858977,-0.8272384,-0.2421463,0.3203366,-0.07970074,-0.10807884,-0.41157886,0.09896111,-0.13894887,0.35215902,-0.42167553,0.18761706,-0.13541688,-0.049313024,-0.19700238,0.38703263,-0.04114524,0.133242,0.43857443,-0.019912409,-0.027957235,0.07298895,-0.09970769,-0.21261525,-0.45298836,-0.79229957,-0.41319284,0.32711968,0.11920188,-0.14473185,0.48161635,-0.2664881,-0.5743921,0.5282336,0.26945317,0.11683031,0.21670938,0.48165643,-0.37126434,0.4659677,0.26241338,-0.0021799835,-0.39795196,-0.047044568,-0.56426007,-0.8797411,0.024946738,0.02059377,0.29684567,0.23443808,-0.050567176,-0.5921429,0.647697,0.15513428,-0.29582298,0.25396344,-0.2198022,0.12684356,-0.2682331,-0.45512682,0.06967845,-0.12612535,0.21151903,-0.16905192,0.08735967,0.84564835,-0.493292,0.05284582,-0.003030952,-0.4649285,-0.34387165,-0.12954098,0.5389903,-0.26648396,0.4922767,-0.40712813,0.23088257,0.38740826,-0.40143338,-0.14375867,0.075683035,0.16355559,0.09221222,0.40339598,0.025415614,0.12794401,-0.28084785,0.32109073,0.15482453,-0.81530225,-0.04109042,0.14622717,-0.095881596,-0.37921715,-0.65305,-0.13462129,0.30638555,-0.41044626,55240.npy
-0.14764577,0.5404774,0.12590349,0.06571427,0.47973514,0.71244335,0.6134978,-0.6954673,-0.5136122,0.53231496,-0.31658107,0.8673616,-0.6151679,-0.32365698,0.390024,-0.18343891,-0.22491471,0.34698793,0.2962445,-0.6543646,-0.41045254,0.106005445,-0.07061945,0.091469385,-0.05686795,0.73595595,0.320975,-0.27503642,-0.092196606,0.6814258,0.23971948,0.40676174,0.19026464,0.6933099,-0.3101305,0.98872024,-0.9483289,0.4096691,0.5436605,-0.15486383,0.16192284,0.46183562,0.752473,1.0126253,-0.42492884,-0.039413784,-0.76136976,1.021625,0.23716423,0.15924107,0.40735096,-0.26076812,-0.09788029,-0.3418531,0.20184301,-0.37731084,-0.622127,-0.3328286,0.0031316653,-0.1724915,0.5484665,-0.12079898,-0.38538194,0.0066914223,-0.77861047,0.7720549,1.06287,0.2641675,-0.63605964,0.35220623,0.15692648,-0.19496757,0.0062893927,-0.373829,-0.2443089,-0.13198787,0.25486824,-0.017804336,-0.8047294,0.34858173,0.5127941,0.56624824,-0.11896735,0.34719095,0.7252289,-0.6135803,0.52215636,0.10743386,0.010526162,0.060302045,-0.012408249,0.0595849,0.16027644,-1.0101551,0.53644955,0.13002412,-0.079136945,-0.3547627,-0.4806294,-0.3524221,-0.24613905,-0.18810919,-0.34057736,-0.61597264,0.65526235,0.59100926,0.82743216,0.91145974,0.31523776,-0.200522,0.21303484,0.46270064,-0.38064355,-0.51725394,0.36377233,0.087281846,-0.6030749,0.30044144,0.6903314,-0.80372804,-0.073174,0.34355313,0.3606393,-0.43596396,-0.2052268,0.25716168,0.02313489,-0.4225412,91793.npy
-0.5858409,0.3497836,0.33426112,-0.25459296,0.56012034,0.7513791,0.33442786,-0.17438175,-0.1466156,-0.26654622,-0.48649886,0.15498337,-0.36266232,-0.7348888,-0.1796383,0.22262709,-0.32633555,0.2016739,-0.15143625,-0.19604202,0.518556,3.3925287e-05,0.16667396,0.33648393,0.11717963,0.238142,0.3499329,-0.9847866,-0.24403091,0.5678202,0.3142322,-1.1138021,0.16901366,0.5139797,0.121662825,0.48324782,-0.4398914,0.35949412,0.28525144,-0.04640626,-0.19028091,0.116528496,0.048163068,-0.06310629,-0.07224863,0.13354623,0.13843372,1.2590576,0.19409879,-0.23366597,-0.21886493,-0.18761298,-0.40613964,-0.27687624,-0.14360471,-0.85827297,-0.71869266,0.04458039,0.08845103,-0.36948842,0.3770604,-0.38160697,-0.7305892,-0.052232254,0.12097825,0.077681825,-0.13683158,0.49296868,-0.81437075,0.6318792,0.47597548,0.021875888,-0.643694,-0.2580012,-0.48388132,-0.6566863,0.22827467,-0.02539711,-0.33745632,-0.006716881,0.48542565,0.01203385,0.8870535,-0.3281543,-0.0038243085,-0.3021267,-0.2568994,-0.43521205,-0.2619477,-0.2184337,-0.41817507,-0.116159394,0.0382619,-0.78627336,0.30587056,0.45102036,-0.78795826,-0.33581865,-0.59399223,-0.12988456,-0.55691504,-0.61960334,0.28500378,-0.50368196,0.48464957,-0.16362421,0.34379736,0.3490562,-0.13622181,-0.409742,0.35575873,0.5445916,-0.46708813,-0.03925819,0.24502096,-0.13220869,-0.56357926,0.34352162,-0.45347223,-0.3838389,-0.34954086,0.15285574,0.14559689,-0.41388357,-0.8902394,0.03156135,0.19132832,-0.5292722,77521.npy
-0.3676741,-0.32538474,-0.49849287,-0.5369656,0.077793516,0.6389572,0.3306971,-0.8955967,-0.5875759,-0.13341202,-0.14509928,0.25133777,-0.9076209,-0.27444702,0.046502113,-0.5330919,0.14521714,0.17565726,-0.049341265,-0.76212317,-0.058287986,-0.103664674,-0.032351058,0.57905376,0.28742918,0.35242158,-0.35545132,-0.1913405,-0.66583127,0.8970686,-0.45926568,0.41817853,0.04841257,-0.53252405,0.22376342,0.095493555,-0.14298953,0.10957314,0.42702204,0.2371775,0.23467673,-0.25041682,0.43587214,0.048071943,-0.15305682,-0.028608833,0.7897297,0.07008231,0.13052799,0.0069091483,-0.010868225,0.09307014,0.142715,-0.405172,-0.104305565,-0.05493083,0.1279958,0.20948748,-0.12782343,0.30934814,0.010003768,-0.30632028,-0.49410075,0.009031689,0.039227016,0.3462091,0.34452465,-0.24464859,-1.1168901,0.29015428,0.058064584,-0.10013125,-0.30918863,0.8758215,-0.64762527,0.5722908,-0.22882628,-0.10616809,-0.11297352,0.43270522,0.24154933,-0.041031785,0.5194289,-0.12697186,0.6454126,-0.022024509,0.5711965,0.3450053,-0.28515607,0.35941866,0.16021197,0.09849641,0.3394605,0.17739996,0.23037983,0.20823555,0.09012055,0.065433174,-0.008619674,0.08271001,-0.48859572,0.46103567,0.28556627,-0.6751922,0.16519034,-0.4090025,0.11311476,0.37413847,0.15132022,0.35030735,0.14414617,0.6372046,-0.26446557,0.15678373,-0.534952,0.5266525,-0.23439208,0.44036967,1.0799631,-0.357053,0.2672712,0.1151366,0.5380897,-0.15222868,-0.15519969,0.24979886,0.1423147,-0.40026748,58334.npy
-0.33291,0.71835214,0.22604589,0.07375836,0.38282755,0.39519468,0.4014951,-0.5713598,0.63419706,0.5595405,-0.96822906,0.6474545,-0.41457513,0.13813542,-0.28116688,-0.19950183,-0.77916986,-0.18212909,0.21884629,-0.5873855,-0.06244348,0.91680944,0.26111826,0.20190668,0.2272613,0.17067926,0.25371593,-0.33994082,0.2352593,-0.06398401,0.28375307,-0.08020121,0.007812802,1.0350046,-0.53200966,0.34274828,-0.37258208,-0.008108687,0.9615175,-0.11468794,-0.4224784,0.30650806,0.910014,1.6274934,-0.41500092,0.07731058,-1.0044616,0.6091951,0.6223148,0.54345924,0.7623572,-0.20948467,-0.17288443,0.15100096,0.20102237,-0.6196467,-0.27584326,0.330238,-0.078405276,0.08472258,0.93422407,-0.007130967,-0.18329933,0.68416333,-0.98065627,0.88050985,0.8940603,-0.0006773528,-0.7354266,-0.27432626,0.5016188,0.16782857,-0.09197788,-0.025572386,-0.3446576,-0.46215582,0.36529028,-0.49536973,-0.31362256,0.5908779,0.3283073,0.08253602,-0.026441187,0.3377952,0.8857576,-0.17139763,0.38308746,0.17683898,0.6025928,-0.46506792,-0.44524756,-0.18458262,0.57740206,-1.1252805,0.72345847,0.42557523,-0.0735422,-0.59421015,-0.4179317,-0.039749555,0.46906716,0.04468055,0.002405034,-0.4963319,0.79456496,-0.2359324,0.68064576,0.5504105,0.21187489,-0.6776304,-0.26858652,0.11205423,0.41716045,-0.20343396,0.6529638,-0.31574062,-0.7641679,0.8987312,-0.14499511,-1.5535836,-0.36439177,0.33097488,0.5545461,-0.33273342,-0.60994095,0.2864078,0.34848523,-0.10415405,124183.npy
0.26465335,0.33403045,-1.0413158,1.8477645,-0.94774866,0.5105429,0.5263916,-0.7329614,-0.54297906,-0.36213768,-0.0060117915,1.5376722,1.1225995,-1.3228446,0.40091544,0.41820362,-1.0722932,0.9306978,-1.8063467,1.3978261,-0.28202116,-0.06785549,0.467414,0.69292295,-1.2336819,-0.8473119,-0.14062531,-0.5378184,1.3542604,-1.7838697,-0.5655434,1.0027596,-0.34237662,1.6507554,-0.31186852,1.5183992,0.36496046,-0.007516522,0.8300557,-1.2894962,1.044749,0.6453707,-0.38403937,0.20017268,0.775025,-1.6056757,0.90940744,-0.57302296,-2.4393387,-0.49232352,0.88541824,-0.92675364,-0.5199083,-1.1533418,1.6505263,1.5035381,-0.6308887,0.052991588,0.3521439,0.15631407,-0.02156321,-0.9201607,-0.744267,-0.975119,-1.02984,0.4229179,0.29982695,1.1300449,0.9451742,1.3836601,0.6896795,-0.05498696,-0.8503463,-0.84505445,-1.498012,-0.34255478,-0.12151461,0.30037415,-0.90110815,0.52080846,0.19904324,0.4121971,-0.7405376,0.049263574,-0.032022517,-1.0728741,-0.8382531,0.9180207,-0.6032538,0.47320524,0.9470494,0.53562623,-0.67469615,0.33296138,0.6839412,0.327191,1.7521154,-0.24639091,0.9823402,-0.71135384,-0.44378364,0.72634184,1.5158391,0.7991996,0.7109777,0.8458222,2.0352683,1.3710266,-0.5571632,0.017859623,-0.13627383,-0.64160293,0.95621294,0.45909056,0.046153165,0.28593194,-0.05287142,0.0012290236,0.59355426,-0.9273437,0.3727004,-0.24520628,1.7190148,-1.0915211,-0.7840642,0.34574518,0.11068005,-0.43224683,128835.npy
