Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8,Enc. Variable 9,Enc. Variable 10,Enc. Variable 11,Enc. Variable 12,Enc. Variable 13,Enc. Variable 14,Enc. Variable 15,Enc. Variable 16,Enc. Variable 17,Enc. Variable 18,Enc. Variable 19,Enc. Variable 20,Enc. Variable 21,Enc. Variable 22,Enc. Variable 23,Enc. Variable 24,Enc. Variable 25,Enc. Variable 26,Enc. Variable 27,Enc. Variable 28,Enc. Variable 29,Enc. Variable 30,Enc. Variable 31,Enc. Variable 32,Enc. Variable 33,Enc. Variable 34,Enc. Variable 35,Enc. Variable 36,Enc. Variable 37,Enc. Variable 38,Enc. Variable 39,Enc. Variable 40,Enc. Variable 41,Enc. Variable 42,Enc. Variable 43,Enc. Variable 44,Enc. Variable 45,Enc. Variable 46,Enc. Variable 47,Enc. Variable 48,Enc. Variable 49,Enc. Variable 50,Enc. Variable 51,Enc. Variable 52,Enc. Variable 53,Enc. Variable 54,Enc. Variable 55,Enc. Variable 56,Enc. Variable 57,Enc. Variable 58,Enc. Variable 59,Enc. Variable 60,Enc. Variable 61,Enc. Variable 62,Enc. Variable 63,Enc. Variable 64,Enc. Variable 65,Enc. Variable 66,Enc. Variable 67,Enc. Variable 68,Enc. Variable 69,Enc. Variable 70,Enc. Variable 71,Enc. Variable 72,Enc. Variable 73,Enc. Variable 74,Enc. Variable 75,Enc. Variable 76,Enc. Variable 77,Enc. Variable 78,Enc. Variable 79,Enc. Variable 80,Enc. Variable 81,Enc. Variable 82,Enc. Variable 83,Enc. Variable 84,Enc. Variable 85,Enc. Variable 86,Enc. Variable 87,Enc. Variable 88,Enc. Variable 89,Enc. Variable 90,Enc. Variable 91,Enc. Variable 92,Enc. Variable 93,Enc. Variable 94,Enc. Variable 95,Enc. Variable 96,Enc. Variable 97,Enc. Variable 98,Enc. Variable 99,Enc. Variable 100,Enc. Variable 101,Enc. Variable 102,Enc. Variable 103,Enc. Variable 104,Enc. Variable 105,Enc. Variable 106,Enc. Variable 107,Enc. Variable 108,Enc. Variable 109,Enc. Variable 110,Enc. Variable 111,Enc. Variable 112,Enc. Variable 113,Enc. Variable 114,Enc. Variable 115,Enc. Variable 116,Enc. Variable 117,Enc. Variable 118,Enc. Variable 119,Enc. Variable 120,Enc. Variable 121,Enc. Variable 122,Enc. Variable 123,Enc. Variable 124,Enc. Variable 125,Enc. Variable 126,Enc. Variable 127,label
-0.7743197,-1.9326363,4.4830713,-1.0072049,-1.441023,-0.2797839,4.809441,-3.5192225,-3.5428667,12.014029,-1.9868016,-5.996437,-6.9391947,-1.7268139,3.8557253,1.5517398,5.9134445,3.9737418,-1.6408542,-5.368055,0.69007623,1.4485264,2.299852,0.26752672,-4.971393,1.8090956,-1.5004352,-5.6260033,2.9904594,1.9071916,-1.0743388,3.900314,0.10200419,2.4481916,17.017153,-4.7248464,2.1548774,-0.08707953,2.3457084,5.912849,3.381019,9.068613,3.2762177,1.1226666,-2.3641598,-0.8209872,0.6849278,1.2617575,-4.3125925,-2.0992463,-3.7664087,-1.9239612,0.9156619,-2.1371374,-4.163959,-1.3207412,3.0593452,3.059976,0.7568479,-10.508101,5.5056458,0.0716156,2.3443732,-2.2926657,-1.9204845,-5.0309596,2.814839,0.80573726,-3.0184014,5.573819,-1.0440539,1.2023774,1.9802169,-3.8805811,-2.8515635,6.499234,-3.4899344,4.31472,0.027696183,-3.3913507,-0.9768725,-0.80485916,-0.06527145,-5.155508,-6.134361,5.024769,-0.08878075,-9.117457,7.9911647,-4.994159,-1.2219299,0.66037416,-5.057162,4.566414,0.08022356,-6.093034,-1.619268,-2.2298648,-4.7861896,-8.964659,1.0175108,-0.8419119,-3.3994899,-0.06628612,-0.09319819,4.3312855,4.8639607,-9.912693,6.390748,4.0350847,7.5227566,-1.4771562,1.5126302,-5.725268,3.571186,0.45155,6.390828,-2.8935559,8.639181,3.439931,5.1897564,-3.1983526,1.3891093,-2.1882272,7.0734444,1.3533252,-1.3784478,15.494683,blues
-3.139148,-4.0993624,-4.7474236,-1.7402078,-7.8363137,7.63804,2.6486526,-1.7972432,-12.065034,13.94136,3.380805,-9.827197,-18.045408,-2.8930318,-1.3930842,5.69028,5.5984416,0.033139344,-0.21101223,-6.389255,-0.43906447,1.059718,2.2001297,4.2649083,-7.8054466,-3.247391,-2.7208502,-0.25109807,5.811022,1.2625058,2.2108026,0.72343713,-5.430192,6.6722126,20.275286,-1.9169787,-0.9344341,7.148078,4.191322,-1.2703706,5.5812216,2.1574507,3.2278473,-0.40943164,-3.3954875,-0.71090376,-4.778042,-0.18795998,-0.703855,0.39531454,-3.0955071,2.6451864,3.0834794,-2.3451426,-1.016897,-3.415786,0.8870478,5.104213,-0.55527127,-5.4084926,3.7165105,0.025703331,0.8181027,1.5000942,1.5791612,-0.08398207,2.5741105,0.15403664,-7.1530657,9.163585,-0.40626594,-1.2500931,1.7573832,-10.220748,-3.5395923,6.4753428,-2.2701764,2.8536932,-0.08254332,-12.519629,-5.559426,-1.7459364,-2.299041,-7.7309113,-14.45185,-2.8579214,0.19588575,-6.793573,1.0611725,0.16011436,-2.0334258,4.1234927,-3.8848,6.7717395,1.7884781,-7.653396,-1.4822874,-0.5740514,0.8278106,-5.183544,2.7838068,0.4327689,-0.7341415,-0.065945834,-2.6842208,-5.2424283,3.8326542,-4.141697,1.0238506,6.1016765,7.2339396,1.3279326,3.093752,-9.155164,7.5303936,4.8182135,4.159216,1.5147127,13.590602,4.0414186,0.48362297,-1.452996,-0.2945364,-1.3129351,-1.7683067,7.8446717,0.55906963,17.656836,blues
-6.8937187,-5.530061,-7.3238153,-4.660404,-11.723771,8.511493,2.0731342,2.689328,-12.32184,14.7333,2.2813425,-12.18831,-22.65201,-1.9285711,-4.9663744,7.990817,8.464696,-1.4170666,3.5779994,-5.279654,2.4365456,2.2013924,-0.89477366,5.0986967,-8.501722,-5.4799623,-3.578801,-0.5205814,3.636884,2.39277,4.1500797,4.831561,-7.193488,7.4555616,23.431108,-1.3863596,-3.8269753,10.029517,7.359397,0.6414408,6.046074,2.9451628,2.161567,-1.7201035,-5.02803,-4.5911956,-2.7988017,-4.344812,-0.43298155,-1.4041723,-4.36049,4.575772,-0.16746551,-2.5572877,1.2817936,-3.202495,0.9526418,4.5139856,0.03866241,-8.510402,4.435165,-0.45776257,0.8364734,2.9349513,2.7116694,3.919379,-1.9523733,0.6558176,-12.724081,7.1527247,-0.70047164,-4.987825,-1.7977253,-6.2639937,-3.4518907,9.944186,-4.151761,3.4447892,2.90426,-12.830082,-9.086937,-3.5966837,-2.7192178,-11.572668,-21.2462,-2.3973532,1.7510707,-5.186008,-2.6896636,3.4791899,-3.7473152,4.8678207,-8.876113,9.57282,3.0595233,-10.685561,-1.0225785,2.6601255,0.8177472,-4.257607,3.0881183,1.9172992,-2.9727054,3.7805758,-6.582899,-5.8452015,1.5755512,-6.0337815,-1.2601215,6.570319,6.466857,4.3589745,6.9921365,-9.220753,6.3554087,7.2267323,1.1087539,3.6854491,14.403832,5.2877164,-0.8512475,-3.1422172,-1.8476126,-5.6527925,-1.6447878,9.461824,2.8908257,14.664479,blues
1.3333561,1.9438776,5.1414223,2.5807905,-0.7079053,9.196654,7.776979,-7.7647862,-5.850215,11.69342,5.216107,-2.256053,-5.4485326,-1.4452772,3.788741,2.5191288,1.141696,1.0447654,-5.7466908,-9.26647,-2.27781,-4.106367,-0.15155452,6.673035,-4.1150064,4.069869,5.1282797,-2.3300664,0.71371037,-3.109341,-4.357229,1.0382848,-0.89967215,-1.265942,11.729621,4.4877067,5.7742615,0.22854716,-11.706216,4.1093593,-3.3961778,6.281668,-0.81573915,2.7811573,3.5824502,-0.62080693,-2.4761713,2.8529847,2.1303062,4.421946,-1.4853815,-0.8302196,2.3615386,-0.34158635,-0.16713385,5.8125577,2.6767292,0.95214206,1.8686283,-4.8267536,2.4811876,-1.2854139,-1.4271536,-5.287101,0.7103233,-4.135196,0.6452932,0.24635357,1.7795876,5.9324236,2.4337018,4.5844517,8.330687,-3.4745944,-0.9476152,0.33950368,-2.6673408,0.7100383,-6.8994474,-6.777595,-0.13011755,0.36381173,2.448003,4.094889,-1.4570843,2.794732,-1.112565,-8.922891,6.5437713,-3.546865,6.252153,3.9275568,3.5355935,-4.5984144,-1.7680978,2.4338334,-0.29619196,2.453939,-2.308131,-8.751242,7.94687,-3.803477,-0.036080025,-3.9785795,-3.3883955,-5.9032874,9.159868,-1.5264318,3.1103418,-1.6560249,8.595597,-6.8753295,-1.4806786,1.270901,7.7376757,-8.940362,-0.3739726,-7.7823615,11.714685,3.3652208,6.261672,5.978614,1.8713259,4.5022573,0.119562685,4.6294236,1.7595706,16.455616,blues
2.055763,2.3137994,4.778783,3.49555,-2.5140038,9.412941,2.5393548,-3.9382343,-7.7688537,15.507408,1.8640494,-1.5963837,-9.00644,-1.6167198,6.869485,3.5888782,0.7106617,1.5426872,-6.9482408,-3.738007,-2.8062127,2.998735,3.105288,5.211667,-1.9274131,-2.5240555,-1.1008357,0.72916657,7.475435,0.66556555,3.4022036,-4.923833,4.271421,-0.16090605,9.374951,-0.9574773,2.0957243,1.3599252,1.5921595,1.021371,-1.0364041,3.5590305,0.6385765,4.0437927,-3.9110734,-1.1075938,-3.8179452,-0.93591547,-0.58818597,-2.3470657,-0.014011322,2.061286,2.321189,-3.7175293,-1.7907447,-1.16058,-1.039404,3.6161776,-1.2138586,-7.414053,0.216806,2.7552505,1.5457045,2.139269,-2.506088,-5.3783956,1.4877841,2.0330353,1.5093089,8.276486,-1.0320164,1.8314692,9.183996,-7.0882936,-2.0798306,1.878072,-0.9775857,0.2029537,-6.604437,-9.479919,-1.2372453,-0.08580208,-1.1307092,2.2541404,-3.093946,-4.315421,4.816256,-10.4553385,0.15889183,-2.563973,-2.0574007,1.4390426,2.7596266,-0.5849696,3.2542536,1.6466106,0.9757901,0.5786474,3.5196931,-10.152963,-0.43267447,-3.4572403,-1.9179833,-3.4509873,2.5423577,-3.486764,5.354434,1.1316133,2.8414392,-1.3715333,11.154353,-5.978929,-2.6153462,-5.478885,9.526401,0.08925438,5.821716,-9.174155,9.6957445,1.871458,3.5314858,9.555145,2.4121659,2.851993,-3.1045032,3.3111033,1.2123748,18.843931,blues
1.4990093,-1.1367146,1.2808648,3.575654,-4.561853,9.662692,2.8417578,-7.004258,-15.502053,17.671738,3.9136946,-4.1893387,-14.5016,-4.0820837,3.239154,2.9249108,2.090227,1.0379093,-4.3616376,-6.711467,-2.0725877,1.4405622,3.0989895,0.9949432,-3.475414,1.3138205,-2.860826,-2.4276202,7.9342494,-0.18628567,-0.8730458,-4.145351,-0.38574013,5.55789,17.917114,-0.8177974,0.64964813,4.102178,0.93145233,-1.5446153,3.620161,-0.84095126,4.220468,1.8493149,-1.8268288,2.4074297,-4.1111684,2.9489064,-0.41803175,1.9658253,-0.82389104,3.7452018,5.4218645,-1.9854718,-3.16213,-3.6847165,1.726321,3.4500568,-2.952236,-5.8694167,7.123771,3.46932,4.4156976,1.7424505,-0.531916,-4.74457,5.56229,1.2122463,-2.2964272,11.875631,0.19676878,3.5362458,6.8809032,-13.00262,-2.025039,3.731856,-0.25997177,1.4256593,-2.1974041,-13.875099,-2.2723234,-0.3648193,-0.9245802,-2.7718632,-6.60345,-5.2936077,2.0807946,-10.918399,3.796191,-4.4288526,-1.2117891,6.6530585,-1.4618517,3.3114758,3.0151575,-3.004428,-0.34042975,-1.849711,0.95462734,-9.929589,-0.58015805,-2.3583424,2.6859677,-4.471935,-0.44014943,-3.4856062,5.8157415,-2.9566846,3.9137723,2.489978,13.211106,-2.561264,1.1039584,-8.734035,7.3640037,1.9171875,9.090497,-2.129044,14.793454,4.1328897,2.8717816,1.5389135,-0.96843076,3.3147457,-1.1276402,3.1537893,-0.5548527,24.673418,blues
-2.3653722,2.3099542,3.456926,-2.528041,-3.921014,9.690074,7.4458895,-5.8178396,-6.358793,13.057713,3.0598204,-6.236154,-9.364652,-2.1827571,2.253561,3.4768462,3.9454815,0.5778622,-3.6753209,-10.313583,0.25556424,-3.800929,-3.1450925,7.181157,-4.0333033,1.6921605,3.1946409,-5.121693,1.3578699,-2.8415084,-3.6421094,4.413416,-3.0434391,1.9743263,17.528486,3.3560293,1.3040558,3.112855,-7.396894,5.101038,-1.6023312,8.299282,0.18931036,3.0300956,1.9476651,-2.7860415,-0.24255954,1.7964574,0.61577195,2.8953497,-2.987415,0.6917223,1.0677019,-2.2549791,0.54937476,4.4749494,4.4730053,2.6065335,0.5599979,-8.24729,3.8423407,-0.045592766,0.7612547,-3.4030447,2.0080085,-1.4758538,0.8002011,0.58128047,-3.0927043,5.04099,1.7126187,2.8642116,3.8393006,-1.6060729,0.06017895,5.488061,-4.9731436,3.8783376,-3.7225296,-7.4634056,0.7350873,-0.44583893,2.2918255,-2.3224382,-6.7581296,3.6467762,-0.46523416,-8.914669,7.0616646,-1.62124,5.1872296,5.490373,-0.88012373,0.31367403,-1.4274597,-1.957936,0.1643236,2.7420971,-2.8334935,-8.409583,7.7485275,-2.5782795,-1.433799,-1.9618341,-6.828896,-4.6879644,8.279078,-5.8416805,1.019132,0.10617128,8.809599,-3.8564124,1.7016151,-1.8039013,7.541064,-7.333558,-0.42263788,-5.4740953,11.551368,6.0396295,6.820601,0.80797935,-0.5392662,1.865573,1.1780267,3.8608203,2.3714519,16.893005,blues
-4.8583684,-6.2901764,-9.157659,-2.9734638,-11.193105,9.94774,2.5124543,0.57184863,-15.657989,15.130677,4.666204,-11.933709,-23.113794,-4.1912227,-6.078135,7.3481164,5.649358,-3.2470613,4.192179,-7.1200805,1.1124105,-0.69694924,-0.84843117,5.2023654,-10.119409,-4.3333406,-3.2012808,0.20260842,5.103601,-0.27957258,1.5760912,0.4993339,-8.6025095,6.9848123,24.391249,0.66075253,-1.3268209,11.05441,2.769679,-1.3351861,4.7960114,-0.22910169,2.6193998,-1.172118,-3.079556,-2.028691,-4.611601,-2.243113,-0.06991394,2.548667,-2.8609605,3.8571389,2.178494,-2.1582215,1.9375625,-1.7037416,0.7730127,3.6619458,0.6042956,-4.2324395,4.734962,-0.60583997,0.5995644,1.6809851,3.5378227,3.4062877,1.5842555,0.10920656,-12.493444,9.19949,0.87044466,-2.97396,-0.049984537,-9.18997,-3.0139167,6.507594,-2.2769136,2.463332,3.4028854,-16.103155,-10.561981,-4.134568,-2.1922088,-10.10826,-20.8185,-3.898882,-0.12492924,-5.3529253,-1.3037729,3.4930232,-1.9334363,5.4270735,-6.27069,6.0621634,1.7491664,-9.26338,-3.0487971,-0.10519813,0.5062097,-2.4949615,3.5144873,3.02132,-0.28581664,3.7574096,-8.14832,-8.816353,2.207671,-4.3270626,-0.59514415,7.302971,7.3862667,2.2037134,7.117635,-8.295087,6.8725595,4.899164,3.125626,5.2834845,15.466037,3.6565394,-1.5384439,-2.641956,-1.1685103,-3.1629832,-2.9253302,11.56816,1.1764655,16.829006,blues
-5.7719646,0.5981639,3.2912066,-1.8099481,-4.738399,8.466233,3.1679003,1.2540556,-2.7072124,15.043233,0.6706574,-6.3210955,-14.852155,0.54627985,4.1540217,4.5591154,9.038426,2.935027,-4.8350606,-4.910015,-1.291294,4.561379,0.3433376,7.2378855,-3.9912894,-5.119278,3.2813332,-1.3398377,3.435803,3.5901117,3.2912636,6.9924145,0.830403,3.6059034,12.394296,-1.6093243,-3.972028,2.2173018,7.8282385,3.778892,1.7289724,9.650094,-2.0711493,3.2517362,-5.0098033,-6.1100383,-4.024297,-4.9957438,-0.38739234,-7.214708,-5.5468817,0.78694904,-2.3176732,-3.3977864,-2.3310723,-2.3307934,-0.36652607,6.1688824,1.2603914,-14.301443,0.37634987,-0.29775473,0.69510335,3.9739292,-1.0502207,0.34524575,-5.3289967,2.7337403,-2.6802728,4.9166937,-3.5485523,-1.7009969,3.251864,-1.1162043,-2.1508198,6.103918,-7.742778,1.7705353,-8.551714,-6.7469373,-0.9376428,0.6391914,-0.66200954,-5.9475574,-9.194132,0.06535777,4.573479,-6.176722,-1.1014358,-0.08266343,-3.6820934,2.8082669,-4.0589056,8.003481,2.7205896,-4.3382535,2.2777839,6.0092096,2.6644263,-11.431882,5.6159425,-4.8785706,-6.4980745,-3.494317,-0.68007624,-3.8673863,5.0820622,-0.08611595,0.4729854,0.5727496,7.6370435,1.0459292,0.97527194,-7.3694296,11.274305,3.7730858,-3.0987844,-7.530606,10.03457,6.795973,6.3202853,4.6027937,-0.26407412,-1.9056594,-1.5667443,3.1611524,2.6605413,13.591106,blues
-0.4613873,-5.664617,-6.8758,1.7764846,-7.4630504,10.032608,4.4653873,-6.217564,-18.348022,15.956366,8.295908,-10.211603,-19.692125,-5.9016786,-3.9406056,5.5775146,2.049674,-2.3794682,0.89119303,-10.400954,-1.584934,-4.2258215,1.9415002,4.77675,-11.392723,1.5691344,-0.9656919,-1.0208467,5.0401483,-2.8908002,-2.5732265,-3.5762331,-9.544757,4.906004,25.29778,2.6432123,4.80993,8.268085,-6.702531,-2.1677716,3.56677,-0.5743459,4.9380236,-1.2667406,1.337525,3.3235705,-6.8304696,3.0683033,-0.3113094,8.16333,-2.3220317,2.1471822,6.676565,0.51641643,0.22097374,0.56311554,2.413018,3.271907,0.83325815,-0.09574826,6.845342,-1.1247314,-0.35241923,-3.6163476,3.1681116,-1.4337636,6.1006193,-0.53336275,-7.629647,12.774627,3.2300663,2.6586637,5.6412106,-14.362506,-3.4778638,3.4897988,0.23777589,1.3959546,1.188679,-17.056158,-9.10997,-2.4875913,-0.9580889,-4.8042035,-14.90984,-3.2087073,-3.8712456,-9.33454,4.6357903,-2.07336,3.0658998,6.331701,-1.0271002,0.3357396,-0.72018176,-5.097433,-4.567578,-3.184774,-1.3395784,-3.415423,5.4495173,1.3547907,3.644089,0.37240008,-6.266818,-10.041946,6.5024247,-4.021248,3.3523173,7.365526,8.379005,-2.67467,3.130367,-6.0069704,7.147736,-0.31791413,5.2192245,3.6368718,18.423866,2.5397012,-0.15164989,-0.23097822,-0.00881042,1.4817146,-2.0841446,12.127071,0.017295808,21.791315,blues
