Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8,Enc. Variable 9,Enc. Variable 10,Enc. Variable 11,Enc. Variable 12,Enc. Variable 13,Enc. Variable 14,Enc. Variable 15,Enc. Variable 16,Enc. Variable 17,Enc. Variable 18,Enc. Variable 19,Enc. Variable 20,Enc. Variable 21,Enc. Variable 22,Enc. Variable 23,Enc. Variable 24,Enc. Variable 25,Enc. Variable 26,Enc. Variable 27,Enc. Variable 28,Enc. Variable 29,Enc. Variable 30,Enc. Variable 31,Enc. Variable 32,Enc. Variable 33,Enc. Variable 34,Enc. Variable 35,Enc. Variable 36,Enc. Variable 37,Enc. Variable 38,Enc. Variable 39,Enc. Variable 40,Enc. Variable 41,Enc. Variable 42,Enc. Variable 43,Enc. Variable 44,Enc. Variable 45,Enc. Variable 46,Enc. Variable 47,Enc. Variable 48,Enc. Variable 49,Enc. Variable 50,Enc. Variable 51,Enc. Variable 52,Enc. Variable 53,Enc. Variable 54,Enc. Variable 55,Enc. Variable 56,Enc. Variable 57,Enc. Variable 58,Enc. Variable 59,Enc. Variable 60,Enc. Variable 61,Enc. Variable 62,Enc. Variable 63,Enc. Variable 64,Enc. Variable 65,Enc. Variable 66,Enc. Variable 67,Enc. Variable 68,Enc. Variable 69,Enc. Variable 70,Enc. Variable 71,Enc. Variable 72,Enc. Variable 73,Enc. Variable 74,Enc. Variable 75,Enc. Variable 76,Enc. Variable 77,Enc. Variable 78,Enc. Variable 79,Enc. Variable 80,Enc. Variable 81,Enc. Variable 82,Enc. Variable 83,Enc. Variable 84,Enc. Variable 85,Enc. Variable 86,Enc. Variable 87,Enc. Variable 88,Enc. Variable 89,Enc. Variable 90,Enc. Variable 91,Enc. Variable 92,Enc. Variable 93,Enc. Variable 94,Enc. Variable 95,Enc. Variable 96,Enc. Variable 97,Enc. Variable 98,Enc. Variable 99,Enc. Variable 100,Enc. Variable 101,Enc. Variable 102,Enc. Variable 103,Enc. Variable 104,Enc. Variable 105,Enc. Variable 106,Enc. Variable 107,Enc. Variable 108,Enc. Variable 109,Enc. Variable 110,Enc. Variable 111,Enc. Variable 112,Enc. Variable 113,Enc. Variable 114,Enc. Variable 115,Enc. Variable 116,Enc. Variable 117,Enc. Variable 118,Enc. Variable 119,Enc. Variable 120,Enc. Variable 121,Enc. Variable 122,Enc. Variable 123,Enc. Variable 124,Enc. Variable 125,Enc. Variable 126,Enc. Variable 127,label
0.22225113,0.74787784,0.34302378,1.0200672,-0.48272473,0.41145638,-0.8594396,1.467224,-0.7804774,0.9092423,-0.39100742,1.1656458,1.2048761,-0.56767744,-0.41198534,0.52697986,0.32261637,1.7044713,1.0921631,-0.8215346,-1.2179636,0.66410017,-1.2259816,-0.39237788,-0.93947077,-0.52108425,0.14536239,0.41517127,-0.42564875,0.9074832,-0.015876941,1.2489816,-0.8218864,1.4298618,0.27920178,1.3425211,-0.23725805,0.28743553,0.7347158,-0.32714987,0.692472,-0.039575223,0.58331835,1.184791,-0.074446484,0.16690613,0.44990858,-0.33065826,0.046918366,-1.2060933,-0.05355213,-0.40907663,1.1168274,-1.8245639,-0.019420657,-0.41212645,-0.19733602,-0.4829198,0.7957058,-0.0037332065,-0.23390192,-0.82533073,-0.050867643,-0.41025722,0.08358165,1.4566183,0.45598346,0.21913897,-0.10097123,0.3615211,1.3874086,0.24338664,-0.32724544,-1.6861471,0.20826723,-1.2230841,-0.52945876,0.13509794,-0.69376373,1.3563104,0.32550308,-0.92412114,-0.3055882,-0.061817702,1.0648971,-0.89000946,0.47761133,-1.0229841,0.6229045,0.30346954,0.38678896,-0.6098707,1.2916471,0.16215797,0.36927444,-0.5511988,0.676533,-0.9468056,0.4781248,-0.34094372,0.4474036,-0.47541472,-0.9865408,-0.6945208,0.2953854,1.2383555,1.1921219,-0.685862,-0.21143243,0.31007478,-0.16922104,0.11123212,1.1712451,0.1696401,0.87025815,-0.97685313,-1.1237215,0.8162316,0.032381963,0.6023315,-0.5127135,0.35479882,0.7312634,0.2399497,-0.7100754,-1.2612586,0.6659609,0.40107703,blues
0.25254217,-0.075412124,0.16501552,-0.114197135,0.05642201,-0.29530796,0.8808657,0.27019197,0.030374588,0.0549615,-0.15320612,0.25932756,-0.36245397,-0.9452045,-0.27621692,-0.024575688,-0.23197763,0.49506065,0.3123087,-1.1953017,-0.32146272,-0.16013649,-0.40512657,-0.15412329,0.18745899,0.38289624,-0.050111428,-0.35898486,0.3797953,0.5878608,-0.19344577,0.25140357,0.38155848,0.6554971,-0.24609165,0.16127601,-0.3606624,0.95392054,-0.25508356,0.30634284,-0.14003916,0.256157,0.37012228,0.20628878,0.049959596,0.04448671,0.008095203,0.46347886,0.60842323,-0.055509172,0.27877682,-0.058371283,0.14827412,-0.28805646,0.1346387,-0.04699042,0.085912,0.2235867,-0.14009634,-0.6340299,0.3129337,-0.5217012,-0.5636257,0.5153985,0.4914823,0.014092732,0.21354198,0.005869668,-0.25634277,-0.075090304,-0.1141056,-0.21264492,-0.13972138,-0.3072175,-0.0005766079,0.08354489,-0.015913278,0.1535917,-0.28155744,0.84463733,-0.72621393,-0.48886368,0.13566133,-0.06332022,0.13118078,-0.612669,0.1999864,0.076207556,-0.6151987,0.08948311,-0.19148163,0.13073802,-0.38969305,-0.48224455,-0.060912795,0.022784766,0.30869672,-0.6217279,0.107558824,-0.12815791,-0.71417636,-0.09007384,0.4278488,-0.5406651,0.37471896,0.24689202,0.04863996,-0.48114124,-0.10768774,0.18107224,0.23790899,0.72876275,-0.3789358,-0.31011522,-0.22114617,-0.088657886,0.08407599,-0.05570294,0.6353193,-0.5015923,-0.022004683,0.05401711,0.37923923,-0.20914382,-0.25423333,-0.38393635,0.0510604,-0.46498188,blues
0.42865032,-0.20221792,-0.35665122,0.42029652,-0.64768124,0.56989574,0.30485728,-1.206783,0.34587246,1.4011425,0.60591143,1.0316267,-0.959504,-0.053294174,0.7689546,0.19693938,-0.44944352,0.5028414,0.32684624,-0.47992322,-0.25034696,-1.6103804,-0.37453666,0.12855451,-0.44893268,-1.404026,0.01423853,-1.1036793,-0.7141725,0.9124383,-1.5373483,0.4794641,-0.7761883,0.49951065,-0.6291008,0.83582103,-1.0244309,0.17590624,0.45235676,0.75762326,-0.65742826,0.85424805,0.2150444,1.0743548,1.3771629,0.4199608,0.09310804,0.56238353,-0.90403163,1.768811,0.09539457,-0.8262304,0.0762254,-1.1382387,0.94936836,1.4829227,0.09248731,1.3365759,0.15143654,0.06547344,0.8917059,0.44434196,0.585557,0.12868057,-1.5910224,0.6821823,1.1007236,0.5738254,1.1031348,0.34812093,0.63197756,-0.7354584,-0.6257719,0.6293412,0.03671456,0.65363693,-0.6409046,0.16642855,0.4787255,0.07895087,0.5160689,-0.25312293,-1.0676247,-0.558541,0.5229675,-1.0878315,0.36691058,-0.30483133,-0.4059913,0.6396189,0.3764636,0.08839743,-1.1619173,-0.79722804,-1.283253,-0.061416518,-0.033327416,-0.5227262,-1.3906885,-0.25882518,0.056092817,0.96645373,0.66206557,-0.56955796,-0.41306183,-0.4480341,1.192257,1.0362136,0.09030013,-0.9508614,0.34092024,-0.33612916,0.0017201118,-0.1159129,-0.1842402,-0.7367159,0.94038963,0.061914884,-0.25307506,-0.07294626,0.78044397,0.8803265,1.0243875,-0.15366533,-0.9020883,0.22416961,0.44596303,0.5833696,blues
0.030658709,0.4285494,0.27285248,-0.119706884,0.11087367,0.44310036,0.5791812,-0.37151068,-0.0997085,-0.15733778,-0.3057275,0.13221987,-0.74141103,-0.3997765,-0.14313458,-0.22317386,-0.008231563,0.34217912,0.15648118,-1.1162614,-0.06945676,0.021145012,-0.27012667,0.077871755,0.3469701,-0.014101658,-0.25198317,-0.4083366,0.16763215,0.28751707,-0.48863867,-0.035947632,0.40866697,0.71108264,-0.24901001,0.13441288,-0.6458167,1.0820535,0.015353624,0.056835562,-0.05040246,-0.050146505,0.71133393,-0.10877249,0.11034529,0.28412372,0.18932453,0.49348852,0.30832207,0.020405794,-0.28152746,-0.09863199,0.085650764,-0.08275073,-0.14946993,0.050452333,-0.4143864,0.44157422,-0.5563651,-0.61148816,0.28979126,-0.11257097,-0.20194837,0.5496828,0.22630861,0.34625617,0.08892557,-0.29208857,-0.6531338,0.23381515,0.023005951,-0.50204754,-0.07981855,0.045188002,0.01661962,0.19386727,0.03224825,0.063004166,-0.22877723,0.65180814,-0.5305474,-0.03674017,0.66706586,-0.2088736,0.08583644,-0.58712965,0.45528358,-0.081818745,-0.4113979,0.052718297,-0.6710301,-0.10959942,-0.31811407,-0.3676859,0.27077585,0.3108444,0.055231243,-0.5727224,-0.16160749,0.12024518,-0.030499429,0.07591902,0.436878,-0.7701374,0.3281144,0.29192388,0.57279694,-0.22358987,-0.24306211,0.29888922,0.063957356,0.7671311,-0.5630381,-0.6118906,-0.2114686,-0.0548631,0.23476759,0.028533332,0.5813729,-0.73886836,0.075720325,0.15022069,0.2736908,0.20291853,0.10555851,0.00073969737,0.39194465,-0.14347048,blues
0.08682871,0.11854421,0.2482514,-0.24019848,0.7115065,0.17254029,0.6496326,-0.20918077,0.08445637,-0.13384762,-1.3162507,-0.06517963,-0.30746177,-0.17185266,-0.15192313,0.2878043,-0.30601472,0.3209023,0.35471296,-0.83758396,-0.09699274,0.2242729,-0.066846326,-0.022224225,0.16616103,0.34837803,0.24998473,-0.68164235,0.2510982,0.4631282,-0.24976012,-0.37707493,0.12947041,0.78793997,-0.59739155,0.24016213,-0.20782961,0.9372904,0.18026063,0.33072093,-0.0753554,0.39824587,1.1012784,0.5960998,-0.16162403,0.3773346,-0.20115508,0.292643,0.9175661,0.028049583,-0.30413854,0.026339084,-0.20982334,-0.3351422,-0.3051016,0.06430164,0.01752638,0.73725134,-0.5393805,-0.10220775,0.2955588,0.019226274,-0.4716465,0.32833305,0.41421002,0.09283667,0.09091865,0.1968157,-0.87411195,0.18662523,-0.2709599,-0.2618616,-0.10522619,0.12674862,0.100496665,0.07149504,0.1498313,0.027510183,-0.38199943,0.70314604,-0.52563745,0.08412032,0.71299756,0.017552683,0.6003334,-0.17401755,0.5046005,-0.2647329,0.41862828,-0.67689425,-0.10056079,-0.46899712,-0.03438952,-0.31590915,0.124763235,0.4059166,-0.06888412,-0.708249,-0.15372959,0.39883912,-0.74877256,-0.06901982,0.08703716,-0.96478814,0.4848246,0.05643683,0.2138576,-0.96273655,0.21302433,0.22218968,0.06718552,0.79387474,-0.8242988,-0.7221996,-0.25737536,-0.34965625,0.1506801,0.5877027,0.24235956,-0.29996818,-0.5565151,-0.21880312,0.4153718,0.38651004,-0.42116228,0.2251553,0.6269768,-0.11236444,blues
0.06960783,0.1437945,-0.09561738,0.064717755,0.067791015,0.23495169,0.72340107,-0.2972052,-0.004149927,0.100797236,0.072866455,0.2682596,-0.64299,-0.6556059,-0.7112924,-0.4951132,-0.078060955,0.21835452,-0.13153614,-0.8848522,0.14412725,-0.07492472,-0.41017786,0.05230691,0.3601989,0.13210249,-0.26441947,-0.25417554,0.4894146,0.6290401,-0.3914333,0.19602528,0.4732532,1.0633209,-0.36535013,0.18010305,-0.41793528,0.797749,0.03438416,0.10993622,-0.41973335,0.17928118,0.70896417,0.06944579,0.17105167,0.033198744,0.11523533,0.46695817,0.48514575,-0.10053324,0.042209916,-0.24726337,-0.02405116,-0.044834517,0.0047285846,0.008300535,0.3010516,0.25467885,-0.07279171,-0.53656816,0.33849865,0.039028913,-0.4632417,0.64241576,0.034233473,0.22077066,0.13506658,-0.24255453,0.047286846,0.29838362,-0.12411311,-0.8048173,0.24792755,0.03483803,-0.2456027,0.378539,-0.16662493,0.075376436,-0.49729314,0.6203598,-0.24260913,-0.23836863,0.29334468,-0.05744798,-0.084160455,-0.7071939,0.55003667,0.16324975,-0.5999413,0.3286689,-0.32536596,0.23493826,-0.5444991,-0.35945767,-0.18902068,0.20519267,-0.2929333,-0.5145259,-0.22215676,0.062377233,-0.615072,0.18974069,0.61026734,-0.5288912,0.42798138,0.45390022,0.3645764,-0.17000115,-0.05134307,0.24468207,0.24051166,0.56711054,-0.6343753,-0.749174,-0.15163076,-0.06872778,0.0060279705,0.13689604,0.82690895,-0.38531685,0.09255013,0.15140769,0.19524783,-0.28114843,-0.24738961,0.13670719,0.34078738,-0.005500447,blues
-0.98307264,0.30731666,0.5726616,-0.3157921,-0.98305976,0.4145051,-1.192337,0.9297553,0.419949,-0.23183902,-0.25800693,1.6464086,0.842084,-0.6210789,-0.49076995,0.9422999,-0.3262983,1.247183,0.6446696,-1.9217252,-0.30585024,0.1905551,-0.18269409,-0.35984245,-0.1358605,0.029074516,-0.008129044,-0.028852634,1.3378317,0.0496117,-0.39593604,1.1988028,-0.63306886,0.9767613,-0.27833012,1.0309185,-0.023663681,-0.24929464,0.31811684,0.00083348993,-0.047546018,0.94589335,0.9596907,0.6598409,0.7538571,0.33738875,0.46287352,0.7353418,-0.53534335,-0.4094611,1.0349822,-1.0677452,0.91148216,-0.73948395,1.1089481,0.071806505,0.537059,-0.1871865,-0.009613629,-0.72902954,0.22450481,-2.249465,-1.4393687,-0.73579216,-0.033139203,-0.36527872,1.393117,-0.0051745325,-0.77492297,-0.43780243,0.35104287,0.34536207,-0.43613374,-0.38758096,0.111946344,-0.9624635,-0.6207454,0.98269886,-0.20857753,1.362172,-0.062692605,-0.46095768,0.124298856,-0.045620747,1.3133606,-0.49496084,-0.46669275,-0.58320475,0.6884099,-0.64486253,0.080279484,0.43483108,1.1771016,-0.4267853,-0.42004603,-0.8839626,0.5153785,-0.027310282,0.44276166,-0.8079856,-0.2248773,0.5385042,-0.4499209,0.0020539928,0.14778735,1.5703056,0.15277904,-0.24762109,1.2403469,-1.7088728,0.47341597,0.7954849,1.3654999,0.08491534,0.23237634,-1.5077027,0.23970804,1.5308025,-2.034942,0.84417605,-0.6423723,0.2509467,-0.08472549,0.21879774,-0.25754336,-0.12166001,0.6538155,0.76198244,blues
-0.45687598,-1.2107699,-1.5280229,1.1384134,-2.715982,1.0418618,0.7995683,0.3220809,1.4006864,0.5575242,0.23350088,2.1524503,1.8884761,-1.7950091,0.81842405,3.7076528,-1.4754102,3.084733,-1.4047799,-1.728461,-3.5584912,-0.76445305,0.12599033,-0.6416406,-2.0346584,-1.0321107,0.16378601,-0.6826301,0.03692994,-0.8677634,-1.060704,2.5348284,-1.9121256,-0.020477062,-0.06687231,2.4173346,-0.60807115,-0.69893944,0.5144152,0.4498411,0.70098275,-0.09925775,0.5026719,0.43416485,1.5736532,-0.88897383,0.2255514,-0.49785542,-3.5686703,0.29858583,2.6313393,-0.6577888,-0.027648361,-2.6234744,1.9604914,2.5676978,-1.3271142,-0.017683756,1.3214462,0.35305852,-0.043746814,-3.4714484,0.63744235,-2.1104987,-0.6288267,-0.5692798,1.2824916,0.7832912,1.5153314,-0.75166863,-0.8716687,3.2938032,-1.4622766,-0.7199653,-0.8421154,-1.3087707,-1.0446745,0.40414846,-0.9549365,-0.22298037,-1.2087809,-0.48038208,-1.4326403,0.5104259,0.23139422,-1.6682445,-1.4261397,2.0233328,0.6217963,1.2003868,0.9324345,0.28061807,-0.18288502,0.3298928,1.0284524,-0.014359277,1.4682372,1.6430001,1.2697536,-2.4540458,0.26143184,-0.7729656,0.58691484,-0.09788041,-0.7125506,0.72628146,1.8956691,2.115812,-0.47653824,-1.8898109,-0.7071386,-0.7210109,0.14573564,2.2598884,0.66290885,-0.4782795,0.30052304,0.16015139,2.7073908,0.49831942,0.5668254,1.2950413,1.6461608,-0.59616995,0.7428965,0.9193975,-0.76378196,-0.31866354,blues
0.03929186,-0.120758146,0.44132307,1.0979465,0.0014455542,-0.5605763,0.36892772,-0.29129788,-0.45608395,0.8553576,0.49230942,0.025310028,-0.2551154,-0.72576714,0.43233028,0.57343054,-0.33913326,0.27833593,-0.0015448257,-0.5121183,-0.34815264,0.21320193,-0.3474534,-0.16939393,-0.072936855,-0.14305052,0.4592523,-0.014546026,0.4135082,0.66036445,-0.34049845,-0.01947113,-0.17537965,1.077848,-0.64865994,-0.066686116,-0.30308738,-0.06575458,-0.16660653,0.45412526,-0.65262336,0.2735693,0.075335465,0.4630612,0.43988675,0.23447645,-1.0335171,0.68500143,-1.2441609,0.59602183,0.26189733,-0.2678441,0.11664493,-0.5451623,-0.022689123,0.27949092,-0.48977205,0.054553017,0.08372888,-0.46541974,-0.4327712,0.50340796,-0.53346485,0.4888314,-0.22548144,-0.47770387,0.24064842,0.07607889,0.7960801,0.05912654,0.15645115,0.14771146,-0.75284374,-0.16514137,0.4569534,-0.17997506,-0.31899884,0.24100932,-0.44159183,0.56029636,-0.23648861,-0.14211546,-0.0996277,0.2487348,-0.09748358,-0.20642771,-0.11431506,0.42482167,0.13622287,0.4184118,0.17278694,0.00959792,-0.15521254,-0.35208222,-0.2294074,-0.012131263,0.20497306,-0.3999584,0.1205202,-0.49605674,0.18670294,0.07757732,0.7184101,-0.04537771,0.13272496,0.11462001,0.8828523,0.6426714,-0.65743095,0.10669176,-0.117456414,-0.40010422,0.28194177,-0.060044825,0.18459958,-0.7615594,0.052149434,-0.20817462,0.657511,-0.4949422,0.51267725,0.46752653,0.36743754,0.54053223,0.115728945,-0.06231868,-0.044087492,0.36915806,blues
0.6806011,0.32966125,0.40410623,1.061706,-0.47485405,1.4851851,-0.71939075,0.59234,0.30798838,0.57348925,0.7368376,0.43761685,0.34952164,-0.3117538,0.97509044,0.6153535,0.1871154,0.73400843,-0.8695442,-1.8190565,-0.6147523,0.68061167,-0.28889072,-0.2754792,-0.29343793,-0.74352616,0.30607042,-0.36918044,0.7418079,0.13769607,-1.0263014,1.1305181,-0.5008747,1.043067,-0.40328503,1.3168303,-0.47980157,1.1447347,0.57028747,-0.12749726,0.16726781,0.41825554,1.9663268,0.9740025,0.41060954,-0.9272308,0.54370576,0.24661523,-0.8603663,-0.30123723,0.64882416,0.16653523,0.24550495,-0.84888726,0.054952737,0.31927934,0.19520167,-0.0025147833,0.5424025,-0.43941313,-0.36645272,-0.52933484,-0.09737985,-0.49116963,-0.34985507,0.5004639,0.19536601,-0.28343993,0.22258708,-0.02632754,0.39033723,-0.5249755,-0.66103244,-0.3919788,0.44883195,0.40965387,0.73088217,0.43766326,-0.6437163,0.5760249,0.18118802,-0.2638452,-0.17252421,-0.32432878,0.7253396,-1.6548268,0.49106446,-0.24790049,0.24598332,0.90827256,-0.5464521,0.19660193,0.7143694,-0.5351567,-0.28760284,-0.85281724,0.4579194,-0.9512082,-0.30311102,-0.09458433,-0.3422772,0.40290514,0.25731197,-0.46521688,0.19594173,1.6022085,0.62689704,-0.05015569,0.4770243,0.3332562,-0.15885153,-0.20069139,-0.4170107,0.5170201,-0.21623972,-0.8647505,0.026901353,0.32387525,0.35824978,0.33496016,0.5708216,0.7729303,0.53521955,-0.22111961,-0.6131991,-0.98093665,-0.43025798,0.65867186,blues
